jogador_pasta,img,nome,overall,gols_jogador,gols_time,assistencias_jogador,assistencias_time,finalizacoes_jogador,finalizacoes_time,precisao_finalizacoes_pct_jogador,precisao_finalizacoes_pct_time,passes_jogador,passes_time,precisao_passes_pct_jogador,precisao_passes_pct_time,dribles_jogador,dribles_time,taxa_dribles_certos_pct_jogador,taxa_dribles_certos_pct_time,divididas_jogador,divididas_time,taxa_divididas_ganhas_pct_jogador,taxa_divididas_ganhas_pct_time,impedimentos_jogador,impedimentos_time,faltas_cometidas_jogador,faltas_cometidas_time,posses_bola_ganhas_jogador,posses_bola_ganhas_time,perdas_posse_bola_jogador,perdas_posse_bola_time,minutos_jogados_media_time_jogador,minutos_jogados_media_time_time,distancia_percorrida_media_time_km_jogador,distancia_percorrida_media_time_km_time,distancia_corrida_media_time_km_jogador,distancia_corrida_media_time_km_time
,Captura de Tela (3353).png,Marc Guehi,82,0,0,0,0,0,6,0,17,0,115,0,92,0,88,0,88,1,10,100,40,0,0,0,1,1,10,0,11,27,63,"2,2","5,8","1,2","3,6"
,Captura de Tela (3354).png,Chris Richards,77,0,0,0,0,0,6,0,17,10,115,100,92,7,88,100,88,1,10,0,40,0,0,1,1,1,10,0,11,93,63,"7,8","5,8","4,2","3,6"
,Captura de Tela (3355).png,Tino Livramento,78,0,0,0,0,0,6,0,17,11,115,100,92,8,88,100,88,0,10,0,40,0,0,0,1,3,10,0,11,84,63,"8,3","5,8","5,2","3,6"
,Captura de Tela (3488).png,Eddie Nketiah,78,1,4,0,4,3,19,33,33.47,6,252,67,88,7,197,100,90,0,28,0,39,0,0,0,4,0,36,2,34,31,64,"2,6","5,4","1,7","3,4"
,Captura de Tela (3489).png,Daichi Kamada,81,0,4,0,4,0,19,0,47,5,252,100,88,4,197,100,90,1,28,0,39,0,0,1,4,0,36,0,34,31,64,"2,9","5,4","2,1","3,4"
,Captura de Tela (3490).png,Jorge Pinto,72,0,4,1,4,1,19,100,47,6,252,100,88,6,197,100,90,0,28,0,39,0,0,0,4,0,36,0,34,18,64,"1,6","5,4","1,2","3,4"
,Captura de Tela (3491).png,Ismaila Sarr,84,1,4,2,4,9,19,56,47,20,252,95,88,20,197,95,90,0,28,0,39,0,0,0,4,0,36,3,34,76,64,"6,9","5,4","4,3","3,4"
,Captura de Tela (3492).png,Reece Paterson,72,0,4,0,4,0,19,0,47,15,252,100,88,16,197,75,90,2,28,0,39,0,0,0,4,1,36,3,34,63,64,"5,8","5,4","3,7","3,4"
,Captura de Tela (3493).png,Lewis Cook,77,0,4,0,4,1,19,0,47,26,252,92,88,20,197,85,90,0,28,0,39,0,0,0,4,1,36,3,34,94,64,"8,7","5,4","5,8","3,4"
,Captura de Tela (3494).png,Anthony Gordon,79,1,4,1,4,3,19,33,33.47,29,252,69,88,25,197,92,90,1,28,0,39,0,0,0,4,3,36,9,34,94,64,"8,7","5,4","5,8","3,4"
,Captura de Tela (3495).png,Will Hughes,76,0,4,0,4,0,19,0,47,14,252,100,88,7,197,100,90,1,28,0,39,0,0,0,4,1,36,0,34,63,64,"5,4","5,4","3,0","3,4"
,Captura de Tela (3496).png,Davies,79,1,4,0,4,1,19,100,47,21,252,90,88,13,197,85,90,1,28,0,39,0,0,0,4,2,36,2,34,94,64,"8,5","5,4","5,5","3,4"
,Captura de Tela (3497).png,Tino Livramento,79,0,4,0,4,0,19,0,47,26,252,81,88,20,197,85,90,7,28,71,39,0,0,0,4,6,36,5,34,94,64,"9,2","5,4","6,6","3,4"
,Captura de Tela (3498).png,Stanisic,76,0,4,0,4,0,19,0,47,24,252,96,88,18,197,94,90,6,28,33,33.39,0,0,0,4,6,36,0,34,94,64,"7,2","5,4","3,9","3,4"
,Captura de Tela (3499).png,Marc Guehi,82,0,4,0,4,1,19,0,47,5,252,100,88,5,197,80,90,1,28,100,39,0,0,0,4,2,36,1,34,31,64,"2,3","5,4","1,3","3,4"
,Captura de Tela (3500).png,Chris Richards,77,0,4,0,4,0,19,0,47,14,252,93,88,10,197,70,90,3,28,67,39,0,0,1,4,9,36,1,34,63,64,"4,8","5,4","2,3","3,4"
,Captura de Tela (3501).png,Nathaniel Teiey,68,0,4,0,4,0,19,0,47,14,252,86,88,9,197,100,90,2,28,0,39,0,0,1,4,2,36,2,34,49,64,"4,4","5,4","3,2","3,4"
,Captura de Tela (3502).png,Dyed Spence,77,0,4,0,4,0,19,0,47,14,252,79,88,12,197,100,90,3,28,33,39,0,0,1,4,1,36,3,34,45,64,"4,8","5,4","3,4","3,4"
